lat,long,count,distance
40.8183,-73.9426,130352,0.38307060000033744
40.7918,-73.9447,351330,0.5468489999998383
40.7443,-73.9781,218869,0.311739600000692
40.67,-73.9367,238789,0.5916173999999046
40.7571,-73.9657,130662,0.893130000000383
40.6762,-73.8736,360319,3.2289240000000063
40.8153,-73.9072,248040,1.090269599999374
40.8261,-73.8196,105622,2.552274000000125
40.6251,-74.0303,138246,2.0211227999993753
40.7651,-73.9858,216624,0.45240600000033737
40.7006,-73.918,146925,0.3017442000000301
40.8496,-73.9356,172854,0.835438800000702
40.7152,-73.9877,300531,1.3016832000002978
40.7166,-74.0146,8884,0.9252288000002409
40.7255,-73.9983,80061,0.835111799999595
40.7375,-73.9813,112349,0.33980279999968843
40.5682,-74.1184,119121,2.81394119999959
40.6907,-73.9274,318281,1.4328053999997792
40.7012,-73.9436,306932,0.15572999999949388
40.7143,-74.006,37941,0.29696880000028614
40.6769,-73.8448,64774,3.493170000000191
40.7185,-74.0025,152938,0.7213032000004205
40.5923,-73.7933,62810,0.8151372000002084
40.6174,-74.0121,62103,2.283531000000039
40.7374,-73.7951,61603,1.859666400000151
40.6039,-74.1472,164673,3.0694656000000577
40.7313,-73.9892,240348,0.309892199999922
40.7764,-73.9827,126975,0.7149540000000343
40.6868,-73.823,104352,1.619789999999739
40.8662,-73.9003,288434,1.1132622000000083
40.7446,-73.9345,163012,2.0013300000000527
40.7402,-73.9996,186658,0.3007278000000042
40.6336,-73.996,99425,0.5334630000006655
40.6838,-73.8514,53509,3.377430000000004
40.8085,-73.9198,242026,0.8715095999996265
40.7119,-73.7944,210391,0.861230400000295
40.679,-73.9644,153829,1.5418025999997553
40.8194,-73.8606,217886,2.1071219999994355
40.6816,-73.9798,148602,0.7336620000000948
40.6775,-73.7758,197771,3.7739099999994323
40.6705,-73.894,456583,1.7217839999993885
40.7143,-74.006,46859,0.29696880000028614
40.6625,-73.9145,432004,0.05048399999986941
40.8316,-73.9099,472473,0.35676299999886396
40.6016,-73.9968,166036,2.6977830000014364
40.852,-73.9129,366863,0.6644033999996282
40.5839,-73.9536,215003,0.8535816000003251
40.7262,-73.9796,212803,0.6784998000002815
40.8116,-73.955,288315,0.764352599999711
40.8409,-73.8794,288656,1.5334992000002785
40.5766,-73.8428,51178,4.601137200000267
40.7597,-73.9918,236760,0.9342060000003585
40.6467,-73.957,323462,1.2365099999997256
40.6521,-74.0018,74182,1.059716999999182
40.8382,-73.942,211657,0.300601199999619
40.8222,-73.9217,310546,0.45009359999949083
40.8633,-73.8895,346434,0.7161131999996542
40.5979,-73.9743,136925,1.2426384000000326
40.7484,-73.9967,278508,1.0140179999998509
40.7351,-73.8776,172659,1.0846968000000743
40.7763,-73.9529,81177,0.6039942000002156
40.7808,-73.9772,2844,1.3188539999996465
40.6784,-73.9211,344292,0.9280854000003274
40.7513,-73.883,148612,0.6318468000004032
40.6306,-74.1379,54144,2.042647200000374
40.7036,-73.8961,178561,1.246585800000048
40.8265,-73.9383,111200,0.9443934000009904
40.7095,-73.9563,137724,1.421849999999722
